Publication,Author,Type,Byline articles,+Probable (bal),Total (bal),Mean sentiment,Years
Relief Society Magazine,S. T. Brimhall Foley,Full name,2,0,2,0.097,1931–1931
Relief Society Magazine,Samantha T. B. Foley,Full name,2,0,2,0.112,1924–1927
Relief Society Magazine,Sarah Ahlstrom Nelson,Full name,2,0,2,0.088,1929–1936
Relief Society Magazine,Seely Anderson,Full name,2,0,2,0.074,1963–1965
Relief Society Magazine,"Shine"" Anna S. Barlow",Full name,2,0,2,0.081,1940–1940
Relief Society Magazine,Singing Mothers,Full name,2,0,2,0.112,1938–1967
Relief Society Magazine,Sylvia Lundgren,Full name,2,0,2,0.048,1964–1970
Relief Society Magazine,T. Dixon,Full name,2,0,2,0.036,1964–1968
Relief Society Magazine,T. Nelson,Full name,2,0,2,0.092,1945–1965
Relief Society Magazine,Thomas C. Romney,Full name,2,0,2,0.048,1945–1957
Relief Society Magazine,U. S.,Initials only,2,0,2,0.01,1922–1922
Relief Society Magazine,Unique Design,Full name,2,0,2,0.086,1962–1963
Relief Society Magazine,V. Cameron,Full name,2,0,2,0.175,1968–1968
Relief Society Magazine,Verda P. Bollschweiler,Full name,2,0,2,0.074,1946–1963
Relief Society Magazine,Vesta Fairbairn,Full name,2,0,2,0.06,1965–1969
Relief Society Magazine,Violet Nimmo,Full name,2,0,2,0.048,1964–1967
Relief Society Magazine,Virginia M. Kammeyer,Full name,2,0,2,0.085,1953–1954
Relief Society Magazine,Visiting Teaching,Full name,2,0,2,0.067,1945–1965
Relief Society Magazine,W. Burt,Full name,2,0,2,0.025,1963–1964
Relief Society Magazine,W. Gould,Full name,2,0,2,0.135,1956–1965
Relief Society Magazine,Wanda Greene Nielson,Full name,2,0,2,0.035,1949–1957
Relief Society Magazine,Weston N. Nordgren,Full name,2,0,2,0.158,1929–1934
Relief Society Magazine,Willard Done,Full name,2,0,2,0.038,1932–1932
Relief Society Magazine,Winifred N. Jones,Full name,2,0,2,0.018,1950–1951
Relief Society Magazine,Winnifred Jardine,Full name,2,0,2,0.073,1961–1963
Relief Society Magazine,Winona F. Thomas,Full name,2,0,2,0.167,1934–1959
Relief Society Magazine,Winsor Mcbride,Full name,2,0,2,0.086,1942–1968
Relief Society Magazine,Womanhood Leah D. Widtsoe,Full name,2,0,2,0.082,1933–1933
Relief Society Magazine,Zella A. Johnson,Full name,2,0,2,0.097,1921–1922
Relief Society Magazine,1853 Julia B. Jensen,Full name,1,0,1,0.022,1929–1929
Relief Society Magazine,1887 C. Frank Steele,Full name,1,0,1,0.053,1937–1937
Relief Society Magazine,3 Dorothy S. Romney,Full name,1,0,1,0.029,1954–1954
Relief Society Magazine,5 Dorothy S. Romney,Full name,1,0,1,0.048,1957–1957
Relief Society Magazine,6 Dorothy S. Romney,Full name,1,0,1,0.042,1957–1957
Relief Society Magazine,60 Virginia B. Jacobsen,Full name,1,0,1,0.066,1936–1936
Relief Society Magazine,A. Adams,Full name,1,0,1,-0.032,1968–1968
Relief Society Magazine,A. H. C.,Initials only,1,0,1,-0.004,1934–1934
Relief Society Magazine,A. Henderson,Full name,1,0,1,0.244,1927–1927
Relief Society Magazine,A. Hyde Visits Utah,Full name,1,0,1,0.026,1928–1928
Relief Society Magazine,A. Isaacson,Full name,1,0,1,0.026,1965–1965
Relief Society Magazine,A. J. Neff,Full name,1,0,1,0.07,1949–1949
Relief Society Magazine,A. Jorgensen,Full name,1,0,1,-0.007,1967–1967
Relief Society Magazine,A. Lamb,Full name,1,0,1,0.08,1967–1967
Relief Society Magazine,A. Larsen,Full name,1,0,1,0.048,1963–1963
Relief Society Magazine,A. Linen,Full name,1,0,1,0.071,1963–1963
Relief Society Magazine,A. Lovett,Full name,1,0,1,0.033,1965–1965
Relief Society Magazine,A. Stevens,Full name,1,0,1,0.044,1941–1941
Relief Society Magazine,A. Thacker,Full name,1,0,1,0.205,1970–1970
Relief Society Magazine,A. Theodore Tuttle,Full name,1,0,1,0.08,1959–1959
Relief Society Magazine,A. W. Ivins,Full name,1,0,1,0.122,1921–1921
Relief Society Magazine,A. W. Mccune,Full name,1,0,1,0.115,1922–1922
Relief Society Magazine,Abbott H. Thayer,Full name,1,0,1,0.069,1919–1919
Relief Society Magazine,Action Bessie E. Redding,Full name,1,0,1,0.131,1939–1939
Relief Society Magazine,Activities Claire P. Dorius,Full name,1,0,1,0.003,1944–1944
Relief Society Magazine,Ada B. Monson,Full name,1,0,1,0.029,1945–1945
Relief Society Magazine,Ada Marie Patten,Full name,1,0,1,0.064,1952–1952
Relief Society Magazine,Adam S. Bennion,Full name,1,0,1,0.081,1925–1925
Relief Society Magazine,Adams Isabel B. Callister,Full name,1,0,1,0.165,1947–1947
Relief Society Magazine,Adeline J. Haws,Full name,1,0,1,0.082,1945–1945
Relief Society Magazine,Adeline R. Ensign,Full name,1,0,1,0.08,1948–1948
Relief Society Magazine,Adelle Ashhy,Full name,1,0,1,0.017,1964–1964
Relief Society Magazine,Adelle Gorsh,Full name,1,0,1,0.021,1963–1963
Relief Society Magazine,Adena W. Swenson,Full name,1,0,1,0.067,1937–1937
Relief Society Magazine,Adoption. .silas L. Cheney,Full name,1,0,1,0.066,1930–1930
Relief Society Magazine,Adrian Hansen,Full name,1,0,1,0.033,1963–1963
Relief Society Magazine,Adult Mark K. Allen,Full name,1,0,1,-0.006,1935–1935
Relief Society Magazine,Afton Brown,Full name,1,0,1,0.065,1964–1964
Relief Society Magazine,Afton N. Porter,Full name,1,0,1,0.01,1949–1949
Relief Society Magazine,Agda Gronbech Harlow,Full name,1,0,1,0.037,1951–1951
Relief Society Magazine,Agda Harlow,Full name,1,0,1,0.058,1965–1965
Relief Society Magazine,Age Edwin F. Parry,Full name,1,0,1,0.01,1935–1935
Relief Society Magazine,Agnes C. Beebe,Full name,1,0,1,-0.011,1952–1952
Relief Society Magazine,Aid Packet,Full name,1,0,1,0.093,1969–1969
Relief Society Magazine,Aids Available,Full name,1,0,1,0.027,1963–1963
Relief Society Magazine,Air Minnie I. Hodapp,Full name,1,0,1,0.038,1935–1935
Relief Society Magazine,Air Rosannah C. Irvine,Full name,1,0,1,0.072,1937–1937
Relief Society Magazine,Alberta O. And Roy W. Doxey,Full name,1,0,1,0.066,1952–1952
Relief Society Magazine,Alda L. Brown,Full name,1,0,1,0.01,1970–1970
Relief Society Magazine,Alexander Schreiner,Full name,1,0,1,0.151,1943–1943
Relief Society Magazine,Alice Bartlett,Full name,1,0,1,-0.03,1951–1951
Relief Society Magazine,Alice D. Moyle,Full name,1,0,1,0.059,1932–1932
Relief Society Magazine,Alice M. Snock,Full name,1,0,1,0.121,1932–1932
Relief Society Magazine,Alice M. Walker,Full name,1,0,1,0.16,1929–1929
Relief Society Magazine,Alice Moore,Full name,1,0,1,0.019,1968–1968
Relief Society Magazine,Alice Morrill,Full name,1,0,1,0.022,1925–1925
Relief Society Magazine,Alice P. Mccune,Full name,1,0,1,0.024,1931–1931
Relief Society Magazine,Alice R. Rich,Full name,1,0,1,0.044,1952–1952
Relief Society Magazine,Alice Sabin,Full name,1,0,1,0.065,1967–1967
Relief Society Magazine,Alice Schmidt,Full name,1,0,1,-0.053,1968–1968
Relief Society Magazine,Alive? C. F. Ursenbach,Full name,1,0,1,-0.012,1921–1921
Relief Society Magazine,Alone Miriam C. Bitner,Full name,1,0,1,0.008,1937–1937
Relief Society Magazine,Alonzo A. Hinckley,Full name,1,0,1,0.096,1935–1935
Relief Society Magazine,Alta H. Taylor,Full name,1,0,1,-0.033,1959–1959
Relief Society Magazine,Alta Williams,Full name,1,0,1,0.076,1966–1966
Relief Society Magazine,Alveretta S. Engar,Full name,1,0,1,0.162,1923–1923
Relief Society Magazine,Alverna Allender,Full name,1,0,1,0.064,1967–1967
Relief Society Magazine,Amelia M. Barker,Full name,1,0,1,0.052,1935–1935
Relief Society Magazine,Ammon And His Brethren,Full name,1,0,1,0.057,1944–1944
Relief Society Magazine,Anderson Staples,Full name,1,0,1,0.073,1969–1969
Relief Society Magazine,Andrew M. Andersen,Full name,1,0,1,0.072,1947–1947
Relief Society Magazine,Angie Munson,Full name,1,0,1,0.074,1967–1967
Relief Society Magazine,Ann Andersen,Full name,1,0,1,0.036,1967–1967
Relief Society Magazine,Ann Barber Fletcher,Full name,1,0,1,0.152,1959–1959
Relief Society Magazine,Ann Horton,Full name,1,0,1,0.034,1965–1965
Relief Society Magazine,Ann Larsen,Full name,1,0,1,0.273,1966–1966
Relief Society Magazine,Ann Parkison Nibley,Full name,1,0,1,0.009,1931–1931
Relief Society Magazine,Ann Roehl,Full name,1,0,1,0.034,1969–1969
Relief Society Magazine,Ann Willis,Full name,1,0,1,0.033,1969–1969
Relief Society Magazine,Anna Duncan,Full name,1,0,1,0.036,1963–1963
Relief Society Magazine,Anna Kivekas,Full name,1,0,1,0.088,1970–1970
Relief Society Magazine,Anna S. D. Johnson,Full name,1,0,1,0.048,1948–1948
Relief Society Magazine,Annella Barnes,Full name,1,0,1,0.048,1963–1963
Relief Society Magazine,Annie C. Hindley,Full name,1,0,1,0.132,1934–1934
Relief Society Magazine,Annie D. S. Palmer,Full name,1,0,1,0.073,1917–1917
Relief Society Magazine,Annie R. Roberts,Full name,1,0,1,0.056,1917–1917
Relief Society Magazine,Answered Nora A. Davis,Full name,1,0,1,0.114,1936–1936
Relief Society Magazine,"Appear"" Alta L. Leafty",Full name,1,0,1,0.035,1948–1948
Relief Society Magazine,Ardelle West,Full name,1,0,1,0.035,1963–1963
Relief Society Magazine,Are Different,Full name,1,0,1,0.088,1970–1970
Relief Society Magazine,Arlene Bascom,Full name,1,0,1,0.031,1966–1966
Relief Society Magazine,Arline Cummings,Full name,1,0,1,0.134,1963–1963
Relief Society Magazine,Armora Kent,Full name,1,0,1,0.055,1967–1967
Relief Society Magazine,Armoral Kent,Full name,1,0,1,0.073,1935–1935
Relief Society Magazine,Armstrong Lessons,Full name,1,0,1,0.084,1965–1965
Relief Society Magazine,Art Minnie I. Hodapp,Full name,1,0,1,0.036,1931–1931
Relief Society Magazine,Art Rose H. Widtsoe,Full name,1,0,1,0.017,1915–1915
Relief Society Magazine,Artemia R. Romney,Full name,1,0,1,0.073,1955–1955
Relief Society Magazine,Arthur L. Beeley,Full name,1,0,1,0.04,1932–1932
Relief Society Magazine,Arthur Lawton Beeley,Full name,1,0,1,0.001,1932–1932
Relief Society Magazine,Arts Show,Full name,1,0,1,0.13,1967–1967
Relief Society Magazine,Audrey King,Full name,1,0,1,0.033,1963–1963
Relief Society Magazine,Author) Roxana T. Hase,Full name,1,0,1,0.089,1934–1934
Relief Society Magazine,Away Coral J. Black,Full name,1,0,1,0.024,1934–1934
Relief Society Magazine,B. Anthony,Full name,1,0,1,0.05,1937–1937
Relief Society Magazine,B. Ashton,Full name,1,0,1,0.088,1967–1967
Relief Society Magazine,B. Barlow,Full name,1,0,1,0.034,1969–1969
Relief Society Magazine,B. Blaisdell,Full name,1,0,1,0.06,1970–1970
Relief Society Magazine,B. Brodt,Full name,1,0,1,0.034,1968–1968
Relief Society Magazine,B. Castleberry,Full name,1,0,1,0.05,1968–1968
Relief Society Magazine,B. Cox,Full name,1,0,1,0.131,1970–1970
Relief Society Magazine,B. Dunford,Full name,1,0,1,0.025,1965–1965
Relief Society Magazine,B. Gibbons,Full name,1,0,1,-0.021,1964–1964
Relief Society Magazine,B. Hart,Full name,1,0,1,0.084,1963–1963
Relief Society Magazine,B. Hills,Full name,1,0,1,0.306,1969–1969
Relief Society Magazine,B. Huber,Full name,1,0,1,0.076,1963–1963
Relief Society Magazine,B. Kearl,Full name,1,0,1,0.037,1970–1970
Relief Society Magazine,B. Knight,Full name,1,0,1,0.041,1928–1928
Relief Society Magazine,B. Larson,Full name,1,0,1,0.07,1968–1968
Relief Society Magazine,B. Lichfield,Full name,1,0,1,0.092,1966–1966
Relief Society Magazine,B. Olsen,Full name,1,0,1,0.066,1965–1965
Relief Society Magazine,B. Pratt,Full name,1,0,1,0.148,1966–1966
Relief Society Magazine,B. Ross,Full name,1,0,1,0.089,1968–1968
Relief Society Magazine,B. S. S.,Initials only,1,0,1,0.076,1940–1940
Relief Society Magazine,B. Schmidt,Full name,1,0,1,0.183,1964–1964
Relief Society Magazine,B. Stoddard,Full name,1,0,1,0.013,1963–1963
Relief Society Magazine,B. Sumsion,Full name,1,0,1,0.045,1970–1970
Relief Society Magazine,B. Terry,Full name,1,0,1,0.071,1968–1968
Relief Society Magazine,B. Thome,Full name,1,0,1,0,1966–1966
Relief Society Magazine,B. Wells Louise Coulson,Full name,1,0,1,0.185,1921–1921
Relief Society Magazine,B. White,Full name,1,0,1,0.088,1964–1964
Relief Society Magazine,B. Wilcox,Full name,1,0,1,0.018,1963–1963
Relief Society Magazine,B. Winters,Full name,1,0,1,0.035,1964–1964
Relief Society Magazine,B. Woodford,Full name,1,0,1,0.037,1964–1964
Relief Society Magazine,"B. Y. U., Provo",Full name,1,0,1,0.03,1934–1934
Relief Society Magazine,Babe Ilzada C. Brinkerhoff,Full name,1,0,1,0.063,1934–1934
Relief Society Magazine,Back C. Frank Steele,Full name,1,0,1,0.072,1934–1934
Relief Society Magazine,Barbara Dowdle,Full name,1,0,1,0.051,1967–1967
Relief Society Magazine,Barbara Williams,Full name,1,0,1,0.042,1961–1961
Relief Society Magazine,Basin Pliny A. Wiley,Full name,1,0,1,0.019,1945–1945
Relief Society Magazine,Basket Isabel W. Sears,Full name,1,0,1,0,1916–1916
Relief Society Magazine,Bastien Lepage Frontispiece,Full name,1,0,1,0.031,1929–1929
Relief Society Magazine,Baton Wade N. Stephens,Full name,1,0,1,-0.006,1939–1939
Relief Society Magazine,Baxter Thomas B. Child,Full name,1,0,1,0.16,1937–1937
Relief Society Magazine,Be Increased,Full name,1,0,1,0.008,1969–1969
Relief Society Magazine,Be Late,Full name,1,0,1,0.185,1970–1970
Relief Society Magazine,Be Told,Full name,1,0,1,0.084,1968–1968
Relief Society Magazine,Beach Stake,Full name,1,0,1,0.054,1967–1967
Relief Society Magazine,Beatrice E. Linford,Full name,1,0,1,0.007,1948–1948
Relief Society Magazine,Beatrice F. Stevens,Full name,1,0,1,0.337,1941–1941
Relief Society Magazine,Beatrice Lopez,Full name,1,0,1,0,1965–1965
Relief Society Magazine,Beatrice Squires Poelman,Full name,1,0,1,0.051,1951–1951
Relief Society Magazine,Beautiful Rose T. Graham,Full name,1,0,1,0.338,1945–1945
Relief Society Magazine,Beesley Cannon,Full name,1,0,1,0.028,1968–1968
Relief Society Magazine,Beginning Date,Full name,1,0,1,0.074,1969–1969
Relief Society Magazine,Belknap Pierson,Full name,1,0,1,0.07,1969–1969
Relief Society Magazine,Belle W. Anderson,Full name,1,0,1,0.017,1958–1958
Relief Society Magazine,Belva Barlow,Full name,1,0,1,0.111,1963–1963
Relief Society Magazine,Bennet Spencer,Full name,1,0,1,0.048,1967–1967
Relief Society Magazine,Bennett Spencer,Full name,1,0,1,0.004,1965–1965
Relief Society Magazine,Bennion Eyring,Full name,1,0,1,0.017,1969–1969
Relief Society Magazine,Bereaved Winnifred M. Tibbs,Full name,1,0,1,0.05,1939–1939
Relief Society Magazine,Bernice L. Robbins,Full name,1,0,1,0.132,1953–1953
Relief Society Magazine,Bertha Cragun,Full name,1,0,1,0.078,1951–1951
Relief Society Magazine,Bertha Hare Long,Full name,1,0,1,0.041,1949–1949
Relief Society Magazine,Bertha Josuks,Full name,1,0,1,0.046,1963–1963
Relief Society Magazine,Bertha Lorentzen,Full name,1,0,1,0.006,1951–1951
Relief Society Magazine,Bertha S. Reeder,Full name,1,0,1,0.068,1956–1956
Relief Society Magazine,Bertha W. Pratt,Full name,1,0,1,0.282,1932–1932
Relief Society Magazine,Bessie Decker,Full name,1,0,1,0.018,1969–1969
Relief Society Magazine,Bessie G. Hale,Full name,1,0,1,0.084,1950–1950
Relief Society Magazine,Bessie I. Peterson,Full name,1,0,1,0.084,1957–1957
Relief Society Magazine,Best Helen W. Anderson,Full name,1,0,1,0,1957–1957
Relief Society Magazine,Beth Bernice Johnson,Full name,1,0,1,0.043,1951–1951
Relief Society Magazine,Bette Mcdonough,Full name,1,0,1,0.111,1967–1967
Relief Society Magazine,Bette Saxton,Full name,1,0,1,0.125,1969–1969
Relief Society Magazine,Betty G. Spencer,Full name,1,0,1,0.04,1966–1966
Relief Society Magazine,Betty Isler,Full name,1,0,1,0.078,1963–1963
Relief Society Magazine,Betty Martin,Full name,1,0,1,0.017,1959–1959
Relief Society Magazine,Betty Mazzacano,Full name,1,0,1,0.16,1969–1969
Relief Society Magazine,Beulah Huish Sadlier,Full name,1,0,1,0.113,1965–1965
Relief Society Magazine,Binding Bertha B. Asper,Full name,1,0,1,0.026,1936–1936
Relief Society Magazine,Binds Gertrude R. Garff,Full name,1,0,1,0.026,1946–1946
Relief Society Magazine,Bitner Castleton,Full name,1,0,1,0.137,1964–1964
Relief Society Magazine,Blanche M. Condie,Full name,1,0,1,0.118,1946–1946
Relief Society Magazine,Blanche M. Hollingsworth,Full name,1,0,1,0.015,1953–1953
Relief Society Magazine,Bloom Alveretta S. Engar,Full name,1,0,1,0,1928–1928
Relief Society Magazine,Blue Jessie J. Dalton,Full name,1,0,1,0.058,1939–1939
Relief Society Magazine,Blue Ribbons,Full name,1,0,1,0.03,1965–1965
Relief Society Magazine,Border Hattie M. Moore,Full name,1,0,1,0.098,1934–1934
Relief Society Magazine,Bounties Marguerite J. Griffin,Full name,1,0,1,0.107,1944–1944
Relief Society Magazine,Bowring Woodbury,Full name,1,0,1,0.093,1964–1964
Relief Society Magazine,Box Virginia B. Jacobsen,Full name,1,0,1,0.046,1936–1936
Relief Society Magazine,Brazil Asael T. Sorensen,Full name,1,0,1,0.026,1956–1956
Relief Society Magazine,Brigham Young,Full name,1,0,1,0.054,1963–1963
Relief Society Magazine,Bring Happiness,Full name,1,0,1,0.113,1964–1964
Relief Society Magazine,Broadcasting Radio,Full name,1,0,1,0.021,1969–1969
Relief Society Magazine,Brown Castleberry,Full name,1,0,1,0.012,1965–1965
Relief Society Magazine,Budget James H. Wallis,Full name,1,0,1,0.058,1925–1925
Relief Society Magazine,Burton K. Farnsworth,Full name,1,0,1,0.096,1946–1946
Relief Society Magazine,Business Leda T. Jensen,Full name,1,0,1,0.042,1940–1940
Relief Society Magazine,C. A. Boyer,Full name,1,0,1,0.063,1927–1927
Relief Society Magazine,C. Anderson,Full name,1,0,1,0.036,1967–1967
Relief Society Magazine,C. Byron Whitney,Full name,1,0,1,0.023,1921–1921
Relief Society Magazine,C. E. C.,Initials only,1,0,1,0.039,1931–1931
Relief Society Magazine,C. E. Dallin,Full name,1,0,1,0.053,1918–1918
Relief Society Magazine,C. Frank Steele,Full name,1,0,1,0.024,1945–1945
Relief Society Magazine,C. Hansen,Full name,1,0,1,0.086,1965–1965
Relief Society Magazine,C. Kinsley,Full name,1,0,1,0.004,1968–1968
Relief Society Magazine,C. L. Christensen,Full name,1,0,1,0.024,1919–1919
Relief Society Magazine,C. Little,Full name,1,0,1,0.038,1963–1963
Relief Society Magazine,C. Mccabe,Full name,1,0,1,0.01,1970–1970
Relief Society Magazine,C. Randall,Full name,1,0,1,0.025,1966–1966
Relief Society Magazine,C. Ryder,Full name,1,0,1,0.024,1965–1965
Relief Society Magazine,C. Smith,Full name,1,0,1,0.067,1970–1970
Relief Society Magazine,Cake Frances A. Katene,Full name,1,0,1,0.006,1961–1961
Relief Society Magazine,Cake Ivy W. Stone,Full name,1,0,1,0.002,1932–1932
Relief Society Magazine,Call Webb,Full name,1,0,1,0.011,1968–1968
Relief Society Magazine,Callie Haggard,Full name,1,0,1,0.145,1964–1964
Relief Society Magazine,Calvin Coolidge,Full name,1,0,1,0.05,1929–1929
Relief Society Magazine,Came Hazel,Full name,1,0,1,-0.054,1969–1969
Relief Society Magazine,Camera Cherry Mckay,Full name,1,0,1,-0.022,1959–1959
Relief Society Magazine,Camilla E. Kimball,Full name,1,0,1,0.087,1950–1950
Relief Society Magazine,Camilla W. Judd,Full name,1,0,1,0.213,1926–1926
Relief Society Magazine,Camille C. Nuffer,Full name,1,0,1,0.053,1930–1930
Relief Society Magazine,Campfire By Lael W. Hill,Full name,1,0,1,0.031,1953–1953
Relief Society Magazine,Canyon Dott J. Sartori,Full name,1,0,1,0.031,1945–1945
Relief Society Magazine,Career Carter E. Grant,Full name,1,0,1,0.047,1930–1930
Relief Society Magazine,Carol Berrey,Full name,1,0,1,0.057,1969–1969
Relief Society Magazine,Carol Lynn Wright,Full name,1,0,1,0.046,1965–1965
Relief Society Magazine,Carol Mattson,Full name,1,0,1,0.036,1964–1964
Relief Society Magazine,Caroline Atterton,Full name,1,0,1,0.022,1968–1968
Relief Society Magazine,Caroline E. Miner,Full name,1,0,1,0.032,1959–1959
Relief Society Magazine,Caroline M. Hendricks,Full name,1,0,1,0.008,1939–1939
Relief Society Magazine,Caroll Orton,Full name,1,0,1,0.11,1966–1966
Relief Society Magazine,Carolyn Despain,Full name,1,0,1,0.069,1962–1962
Relief Society Magazine,Carolyn Kay Despain,Full name,1,0,1,0.059,1963–1963
Relief Society Magazine,Caroue Denton,Full name,1,0,1,0.035,1964–1964
Relief Society Magazine,Carpet Zipporah L. Stewart,Full name,1,0,1,0.1,1936–1936
Relief Society Magazine,Castaways Holly B. Keddington,Full name,1,0,1,0.047,1960–1960
Relief Society Magazine,Catherine Kelly,Full name,1,0,1,0.018,1950–1950
Relief Society Magazine,Cathleen Hammond,Full name,1,0,1,0.038,1968–1968
Relief Society Magazine,Cazier Norton,Full name,1,0,1,0.041,1968–1968
Relief Society Magazine,Cecil G. Pugmire,Full name,1,0,1,0.044,1952–1952
Relief Society Magazine,Celestia Rees,Full name,1,0,1,0.13,1970–1970
Relief Society Magazine,Celia Bartholomew,Full name,1,0,1,0.052,1965–1965
Relief Society Magazine,Celia L. Luce,Full name,1,0,1,0.051,1951–1951
Relief Society Magazine,Celia Van Cott,Full name,1,0,1,-0.024,1951–1951
Relief Society Magazine,Chair Bessie C. Rasmussen,Full name,1,0,1,0.036,1935–1935
Relief Society Magazine,Chance Henry F. Kirkham,Full name,1,0,1,0.072,1929–1929
Relief Society Magazine,Chappel Head,Full name,1,0,1,0.113,1968–1968
Relief Society Magazine,Charles H. Hart,Full name,1,0,1,0.245,1934–1934
Relief Society Magazine,Charles R. Savage,Full name,1,0,1,0.12,1936–1936
Relief Society Magazine,Charles W. Nibley,Full name,1,0,1,0.092,1932–1932
Relief Society Magazine,Charter Leo J. Muir,Full name,1,0,1,0.01,1942–1942
Relief Society Magazine,Charter Marjorie M. Woolf,Full name,1,0,1,0.082,1942–1942
Relief Society Magazine,Cheshire Harding,Full name,1,0,1,0,1969–1969
Relief Society Magazine,Child Ida M. Durnin,Full name,1,0,1,0.107,1936–1936
Relief Society Magazine,Child Laig V. Hales,Full name,1,0,1,-0.004,1930–1930
Relief Society Magazine,Chorus Wade N. Stephens,Full name,1,0,1,0.078,1940–1940
Relief Society Magazine,Christina Cox Stacey,Full name,1,0,1,0.133,1965–1965
Relief Society Magazine,Christmas Cheer,Full name,1,0,1,0.076,1970–1970
Relief Society Magazine,Christmas H. R. Merrill,Full name,1,0,1,0.021,1936–1936
Relief Society Magazine,Christmas Zipporah L. Stewart,Full name,1,0,1,0.018,1936–1936
Relief Society Magazine,Church Programs,Full name,1,0,1,0.053,1967–1967
Relief Society Magazine,Cigarette?francis W. Kirkham,Full name,1,0,1,0.028,1937–1937
Relief Society Magazine,Civilization E. E. Erickson,Full name,1,0,1,0.074,1932–1932
Relief Society Magazine,Claire C. Boyer,Full name,1,0,1,0.162,1932–1932
Relief Society Magazine,Claire P. Dorius,Full name,1,0,1,0.059,1944–1944
Relief Society Magazine,Clara S. Fagergren,Full name,1,0,1,0.032,1920–1920
Relief Society Magazine,Clara W. Beebe,Full name,1,0,1,0.116,1921–1921
Relief Society Magazine,Clarissa Smith Williams And Mrs. Amy Brown Lyman,Full name,1,0,1,0.019,1919–1919
Relief Society Magazine,Class Emma A. Empey,Full name,1,0,1,0.09,1924–1924
Relief Society Magazine,Claude Monet,Full name,1,0,1,0.123,1970–1970
Relief Society Magazine,Cleaning Gertrude R. Garff,Full name,1,0,1,0.068,1943–1943
Relief Society Magazine,Clegg Broadbent,Full name,1,0,1,0.012,1970–1970
Relief Society Magazine,Cleo J. Johnson,Full name,1,0,1,0.061,1961–1961
Relief Society Magazine,Clothes C. Elaine Ericksen,Full name,1,0,1,0.083,1947–1947
Relief Society Magazine,Concluded) Sibyl S. Bowen,Full name,1,0,1,-0.037,1939–1939
Relief Society Magazine,Conclusion) Dorothy S. Romney,Full name,1,0,1,0.009,1955–1955
Relief Society Magazine,Condry Lessons,Full name,1,0,1,0.026,1969–1969
Relief Society Magazine,Conductor) Wade N. Stephens,Full name,1,0,1,0.04,1939–1939
Relief Society Magazine,Continue Frank S. Emery,Full name,1,0,1,-0.038,1945–1945
Relief Society Magazine,Conversion Rules,Full name,1,0,1,0.034,1970–1970
Relief Society Magazine,Cook Solury,Full name,1,0,1,0.22,1967–1967
Relief Society Magazine,Correctly? M. N. Butt,Full name,1,0,1,-0.014,1928–1928
Relief Society Magazine,Cotton Smith,Full name,1,0,1,0.097,1968–1968
Relief Society Magazine,Counselor Marcia K. Howells,Full name,1,0,1,0.026,1941–1941
Relief Society Magazine,Counselor Velma N. Simonsen,Full name,1,0,1,0.115,1949–1949
Relief Society Magazine,County Lettie T. Cannon,Full name,1,0,1,0.117,1928–1928
Relief Society Magazine,Courageous Eulalia S. Welch,Full name,1,0,1,0.097,1934–1934
Relief Society Magazine,Courtship E. Cecil Mcgavin,Full name,1,0,1,0.03,1940–1940
Relief Society Magazine,Creative Beauty,Full name,1,0,1,0.128,1970–1970
Relief Society Magazine,Creek Stake,Full name,1,0,1,0,1967–1967
Relief Society Magazine,Crosse Hansen,Full name,1,0,1,0,1965–1965
Relief Society Magazine,Cultivated Gardens,Full name,1,0,1,0.086,1968–1968
Relief Society Magazine,Culture Lois V. Hales,Full name,1,0,1,0.044,1930–1930
Relief Society Magazine,Curt Meng,Full name,1,0,1,0.082,1931–1931
Relief Society Magazine,Cynthia Trunnell,Full name,1,0,1,0.093,1967–1967
Relief Society Magazine,D. Blodgett,Full name,1,0,1,0.07,1968–1968
Relief Society Magazine,D. Brinton,Full name,1,0,1,0.182,1966–1966
Relief Society Magazine,D. C. Frank Steele,Full name,1,0,1,0.061,1936–1936
Relief Society Magazine,D. Flack,Full name,1,0,1,0.073,1968–1968
Relief Society Magazine,D. Lee,Full name,1,0,1,0.089,1938–1938
Relief Society Magazine,D. Nielsen,Full name,1,0,1,0.03,1970–1970
Relief Society Magazine,D. Richards,Full name,1,0,1,0.085,1970–1970
Relief Society Magazine,D. Twiddy,Full name,1,0,1,0.076,1966–1966
Relief Society Magazine,Daffodil Wanda M. Lund,Full name,1,0,1,0.041,1947–1947
Relief Society Magazine,Daines Fredrickson,Full name,1,0,1,0.052,1969–1969
Relief Society Magazine,Daisy R. Romney,Full name,1,0,1,0.073,1960–1960
Relief Society Magazine,Dale T. Fletcher,Full name,1,0,1,0.053,1970–1970
Relief Society Magazine,Daniel H. Ludlow,Full name,1,0,1,0.093,1959–1959
Relief Society Magazine,Daryl Chase,Full name,1,0,1,0.052,1945–1945
Relief Society Magazine,Daun Mackay,Full name,1,0,1,-0.002,1970–1970
Relief Society Magazine,Davis Everett,Full name,1,0,1,0.059,1965–1965
Relief Society Magazine,Dawn Olive M. Nicholes,Full name,1,0,1,0.023,1946–1946
Relief Society Magazine,Dawn Wood,Full name,1,0,1,-0.004,1966–1966
Relief Society Magazine,Day Beautiful,Full name,1,0,1,0.079,1966–1966
Relief Society Magazine,Dead Nina B. Mckean,Full name,1,0,1,-0.013,1922–1922
